Neighborhood,Property Type,Year Built,Square Footage,Bedrooms,Bathrooms,Purchase Price,Down Payment,Loan Amount,Loan Term (Years),Interest Rate (%),Property Taxes,Insurance Costs,HOA Fees,Maintenance Costs,Renovation Costs,Current Market Rent,Vacancy Rate,Rental Growth Rate (%),Appreciation Rate (%),Property Age,Net Operating Income (NOI),Rental Yield,Debt to Income Ratio,Annual Cash Flow,Cap Rate (%),Total ROI (%)
1,2,-1.6338246748965224,0.0381491886379216,-0.8790203448509712,-0.439270784295261,-1.3295941290946796,-1.3580021844518366,-1.2374645684759382,15,4.77,-1.4332000919471528,-1.4121436736702062,-0.2508297415555682,-1.2705421291075298,0.2154615032213987,-0.0648578093233891,0.16,0.03,0.02,122,4338.441033210437,3.5089623671881025,-0.0059015096917211,5.013230825068308,9.501713306854432,2100.205568055171
6,2,1.0176592913317928,-0.7086426219789381,1.4696372770238268,1.347690342933041,-0.8119715479025784,-1.042271716659738,-0.6925845901012178,30,3.31,-0.8370671958036904,-0.4940004128176771,0.1704630554824409,-1.3680358056321833,-1.5760174846086792,-0.5372368437658205,0.07,0.05,0.01,28,3464.479348452238,0.2477580995048035,-0.0041859842529561,2.3567465929027276,4.8711817040062755,1966.9835923284809
6,1,0.509928319075307,0.5978483363412552,0.8824728715551274,-0.439270784295261,0.1275856004235538,-0.7317620102707844,0.3742853930477109,15,5.32,0.7705062156087672,1.2238408772133686,2.1483059333647465,-1.3346407242622988,-0.1576274012613079,0.1525417669168266,0.07,0.02,0.03,46,3531.2030281362167,-0.1564706843204873,-0.002113414904948,2.1233205787300724,3.709125932975575,1949.0604142893528
1,1,0.5945501477847213,-1.2793936569429865,0.8824728715551274,-0.439270784295261,-0.311945543167775,-0.6375972059130827,-0.1957746720910169,30,4.14,0.2431271796267568,0.4786223057698903,0.976635022357151,-1.246681999931032,1.1897725974774314,0.0455622422808272,0.08,0.01,0.02,43,3646.7674202286953,0.2609483097078204,-0.0035335782920804,2.1267631137042495,4.410694713745795,1951.1664195163078
6,2,-0.9568500452212078,0.293921436671603,-0.8790203448509712,1.347690342933041,-0.6691471439941721,-0.0691762729306235,-0.8048654438712245,30,3.43,-0.9245211963232656,0.8419969851703858,0.9086528243804874,-1.228656368881503,-0.244042080146404,-0.30875885250785,0.1,0.05,0.01,98,3575.7746518388312,0.3538404858021914,-0.0045706810064331,2.5239663312688974,4.956306093108692,1959.3874737200263
4,2,0.9894520150953214,-1.4364883401488586,-1.4661847503196708,-0.439270784295261,-0.0713160068125163,0.4292452656939906,-0.2152050922152899,30,4.79,-0.2079429459559718,0.325944530049836,0.6401307127733322,-1.371821477024877,0.187716470153833,0.3519532372364117,0.15,0.01,0.04,29,4303.01139481795,0.2947704593037661,-0.0044533717280699,2.9126977041828934,4.886142848916404,1969.9257353770995
2,0,1.0458665675682643,0.4589103250636999,-1.4661847503196708,0.4542097793188898,-0.5682251830350916,-0.5325313328761944,-0.5430313744217651,30,5.92,-0.2783841732454695,0.0206676379480693,-0.7286734315652562,-1.2638164599583206,1.1856810077794937,-0.448433610829926,0.08,0.02,0.01,27,3253.735630834954,-0.0427346936265762,-0.0034447632484028,2.1288774735356397,4.4129949915522,1949.322990601389
2,1,1.5818048160612217,-1.737257557744021,0.8824728715551274,0.4542097793188898,-0.4293747230811011,-0.8936965818932966,-0.2647053874785322,30,5.64,-0.058796625987151,-0.6721166185572394,-0.9122556477049096,-1.1908155429306533,1.549931441906753,-1.2253299644236095,0.12,0.01,0.03,8,1719.6933336679267,-1.3268868883096656,-0.062091831148831,2.117645839609493,1.9743309090187924,1948.8045069040622
2,2,-1.2671300838223936,1.332798839178778,0.8824728715551274,-0.439270784295261,-1.0058908914208775,-0.5034637975553513,-1.091494011692321,30,5.89,-0.6386086299021433,0.8775510061005579,1.479763850589785,-1.2384968035241668,-0.3459048801217185,-0.146473163682402,0.11,0.05,0.02,109,3627.7637426074243,1.5618439538971682,-0.0051782940970749,3.721843388594378,6.507882860456556,2005.2756991061465
5,2,-1.492788293714165,0.4454901762471179,-1.4661847503196708,-0.439270784295261,-0.1719093334519355,-0.92935608689727,0.0634400977091886,15,3.69,0.3148348394489169,1.2387861514981755,-0.8632751553987836,-1.3756952544667709,0.5881981974628995,-0.9886127088208244,0.07,0.05,0.03,117,1999.6488619656236,-1.1854871362828887,0.0207059573342381,2.128579110275582,2.415527643719015,1949.2277661036517
